latitude,longitude
24.79999,46.84999
24.68411,46.71079
24.49307,39.61241
28.39314,36.56533
25.29541,55.37902
21.57825,39.17433
21.27514,39.26401
25.39412,55.45618
24.58463,46.64478
25.13018,55.25228
24.87363,46.86487
24.63631,46.71381
24.84592,46.66836
25.93923,51.47411
25.12464,55.23333
29.30987,47.83053
27.47842,35.58852
24.54623,46.64778
25.27129,55.30692
